yearsStatistics,currentYearStatistics,thisMonthPendingOrdersStatistics,thisMonthRunningOrdersStatistics,thisMonthFinishedOrdersStatistics,thisMonthCanceledOrdersStatistics,time
[],[],0,0,0,0,0
"[{""year"":2021,""count"":146059,""totalPrice"":15303139},{""year"":2022,""count"":781647,""totalPrice"":82117938},{""year"":2023,""count"":634592,""totalPrice"":66616960}]","[{""month"":1,""count"":66428,""totalPrice"":6993333,""avg"":105.27688625278498},{""month"":2,""count"":59977,""totalPrice"":6303254,""avg"":105.09451956583356},{""month"":3,""count"":65919,""totalPrice"":6948653,""avg"":105.41199047315645},{""month"":4,""count"":64565,""totalPrice"":6770854,""avg"":104.86879888484474},{""month"":5,""count"":66199,""totalPrice"":6952929,""avg"":105.03072553966072},{""month"":6,""count"":64711,""totalPrice"":6795496,""avg"":105.01299624484245},{""month"":7,""count"":66422,""totalPrice"":6984354,""avg"":105.15121495889916},{""month"":8,""count"":66421,""totalPrice"":6973002,""avg"":104.98188825823158},{""month"":9,""count"":64430,""totalPrice"":6744138,""avg"":104.67387862796834},{""month"":10,""count"":66655,""totalPrice"":7005596,""avg"":105.10548662475807},{""month"":11,""count"":63618,""totalPrice"":6687817,""avg"":105.12460309975164},{""month"":12,""count"":66347,""totalPrice"":6963371,""avg"":104.95381855999517}]",,,,,
"[{""year"":2021,""count"":146295,""totalPrice"":15329136},{""year"":2022,""count"":782866,""totalPrice"":82245229},{""year"":2023,""count"":635568,""totalPrice"":66721040}]","[{""month"":1,""count"":66537,""totalPrice"":7005020,""avg"":105.2800697356358},{""month"":2,""count"":60061,""totalPrice"":6311807,""avg"":105.08994189240939},{""month"":3,""count"":66018,""totalPrice"":6959460,""avg"":105.41761337816959},{""month"":4,""count"":64663,""totalPrice"":6780055,""avg"":104.85215656557845},{""month"":5,""count"":66306,""totalPrice"":6964491,""avg"":105.0356076373179},{""month"":6,""count"":64809,""totalPrice"":6806309,""avg"":105.02104645959666},{""month"":7,""count"":66539,""totalPrice"":6996913,""avg"":105.15506695321541},{""month"":8,""count"":66512,""totalPrice"":6982152,""avg"":104.97582391147462},{""month"":9,""count"":64524,""totalPrice"":6754207,""avg"":104.67743785258199},{""month"":10,""count"":66757,""totalPrice"":7015630,""avg"":105.0951988615085},{""month"":11,""count"":63720,""totalPrice"":6698441,""avg"":105.12305398618957},{""month"":12,""count"":66458,""totalPrice"":6974876,""avg"":104.95163862890848}]","[{""count"":33063,""price"":3462063,""avg"":104.71426410985421}]","[{""count"":33368,""price"":3503635,""avg"":104.99985015583793}]","[{""count"":33554,""price"":3515761,""avg"":104.77919175061095}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:37:02"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:38:32"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:39:04"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:39:10"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:39:18"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:40:08"
"[{""year"":2021,""count"":146748,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:41:18"
"[{""year"":2021,""count"":50,""totalPrice"":15376682},{""year"":2022,""count"":785548,""totalPrice"":82530411},{""year"":2023,""count"":637708,""totalPrice"":66947032}]","[{""month"":1,""count"":66753,""totalPrice"":7027713,""avg"":105.27935823109074},{""month"":2,""count"":60257,""totalPrice"":6333359,""avg"":105.10578024129977},{""month"":3,""count"":66257,""totalPrice"":6985629,""avg"":105.4323165854174},{""month"":4,""count"":64865,""totalPrice"":6800930,""avg"":104.84745240114083},{""month"":5,""count"":66518,""totalPrice"":6987035,""avg"":105.03976367299077},{""month"":6,""count"":65026,""totalPrice"":6829699,""avg"":105.03028019561407},{""month"":7,""count"":66763,""totalPrice"":7019996,""avg"":105.14800113835507},{""month"":8,""count"":66749,""totalPrice"":7007669,""avg"":104.98537805809825},{""month"":9,""count"":64744,""totalPrice"":6777026,""avg"":104.67419374768318},{""month"":10,""count"":66987,""totalPrice"":7040051,""avg"":105.09891766813466},{""month"":11,""count"":63924,""totalPrice"":6719867,""avg"":105.12275514673675},{""month"":12,""count"":66705,""totalPrice"":7001437,""avg"":104.96120230867251}]","[{""count"":33151,""price"":3471149,""avg"":104.71037707390649}]","[{""count"":33475,""price"":3514534,""avg"":104.9898132935026}]","[{""count"":33666,""price"":3528289,""avg"":104.80273866809243}]","[{""count"":7,""price"":440,""avg"":73.33333333333333}]","2022-10-25 01:41:43"
